date,ChicagoFCI_model,GSFCI_model,NA_model,MXmUS,SAmUS,CHIFCI,GSFCI,MXUSmSAUS,USDMXN_ret,USDZAR_ret,USDMXNMA_deviation,USDZARMA_deviation
2005/4/1,0,0,1,0.04978104,0.038687253,0.004613,-0.04,1.941,-0.010257049,0.006126357,0.1746,0.317125
2005/4/8,1,0,0,0.006908605,0.004340551,0.0083866,0.01,1.965,-0.004550991,-0.016372897,0.034975,0.258625
2005/4/15,0,0,1,0.046505535,-0.032835965,0.0114216,0.15,2.385,-0.002806969,0.020031263,-0.033225,0.059925
2005/4/22,0,0,1,-0.006697127,-0.069349443,0.0106283,-0.1,2.62,-0.006123071,-0.038099382,-0.0659,0.1166
2005/4/29,0,0,1,0.009845621,0.036614807,0.0199621,-0.01,2.546,-0.002701952,0.005391738,-0.106525,-0.16915
2005/5/6,1,0,0,-0.019982841,-0.068340018,0.0150831,-0.01,2.682,-0.010217028,-0.010239899,-0.070825,-0.093975
2005/5/13,1,0,0,-0.021806953,0.068047995,0.0143196,0.11,2.3,0.004505815,0.048313726,-0.139,-0.111925
2005/5/20,0,1,0,-0.069661861,-0.011208197,0.0111746,-0.14,1.915,-0.006645239,0.030411191,-0.0295,0.221075
2005/5/27,0,0,1,0.024277194,0.000736396,0.0073154,-0.09,2.051,-0.008644174,0.004125355,-0.062325,0.407925
2005/6/3,0,1,0,0.010518946,-0.003521589,0.0004687,-0.22,2.126,-0.003716629,0.039948272,-0.115275,0.3191
2005/6/10,1,0,0,-0.05213174,-0.051032518,-0.0023141,0.06,2.011,-0.00029033,-0.01595504,-0.09805,0.472225
2005/6/17,1,0,0,0.013032161,0.012534045,-0.0055627,-0.1,2.039,-0.005432551,-0.018724079,-0.062375,0.16775
2005/6/24,1,0,0,-0.005701916,0.020201466,-0.0085757,0.07,1.933,-0.006365949,0.011829121,-0.068375,-0.052125
2005/7/1,0,0,1,-0.043009611,-0.037127714,-0.0081686,0.09,1.828,-0.004380714,0.021506523,-0.088375,0.010975
2005/7/8,1,0,0,-0.001775509,0.009611892,-0.0086075,-0.03,1.784,-0.000428761,0.001663336,-0.093025,0.127925
2005/7/15,1,0,0,-0.032683008,-0.035812138,-0.0062413,-0.08,1.737,-0.013267698,-0.03480107,-0.054125,0.141875
2005/7/22,1,0,0,0.024612615,-0.030282155,-0.0083384,-0.02,1.971,0.002113335,-0.002278163,-0.151375,-0.120375
2005/7/29,1,0,0,-0.031237148,-0.054197253,0.0002156,0,1.987,-0.006250889,-0.00757522,-0.06385,-0.13605
2005/8/5,1,0,0,0.02332941,-0.065126905,-0.0009368,0.05,2.316,9.44E-06,-0.018649989,-0.087625,-0.16245
2005/8/12,1,0,0,-0.045538543,0.065111141,0.0029145,-0.1,1.88,0.002001051,-0.017996849,-0.039725,-0.212325
2005/8/19,0,0,1,-0.006381255,0.02284942,0.0037921,0.11,1.775,0.010388551,0.029327433,0.028,-0.2229
2005/8/26,0,0,1,-0.06304927,0.007343904,0.0063097,0.03,1.434,0.005833188,-0.011505415,0.145,0.041275
2005/9/2,1,0,0,0.061647179,0.06970076,0.0050736,-0.14,1.496,-0.017726574,-0.035657174,0.193725,-0.009225
2005/9/9,1,0,0,-0.05275046,0.012290407,0.0055943,-0.03,1.189,9.37E-05,0.008992222,-0.0465,-0.205825
2005/9/16,1,0,0,0.025385638,0.016986394,0.0043106,0.14,1.249,0.013673313,0.008592269,-0.048,-0.09275
2005/9/23,0,0,1,-0.083738064,-0.029333555,0.0017394,0.12,0.948,-0.001351729,0.000345082,0.10225,-0.024725
2005/9/30,1,0,0,-0.055072659,-0.031732443,0.0021275,-0.02,0.814,-0.009180793,-0.002165318,0.081725,0.0245
2005/10/7,0,0,1,0.021844026,0.020011199,-0.0006512,0.15,0.838,0.002144738,0.023995133,-0.0022,0.03885
2005/10/14,0,0,1,0.008443824,-0.011470673,-0.0014394,0.15,0.914,0.007774743,0.004172755,0.01105,0.168775
2005/10/21,0,1,0,-0.019814084,0.06024026,-0.0054762,0.03,0.622,-0.002762845,0.007366096,0.080875,0.1467
2005/10/28,1,0,0,-0.040782228,-0.068726912,-0.0012993,-0.02,0.698,-0.005727081,0.012936752,0.052125,0.15275
2005/11/4,0,0,1,-0.020166335,-0.050383352,-0.0041763,0.01,0.786,-0.007525125,-0.001672416,-0.005275,0.18465
2005/11/11,1,0,0,-0.0270162,-0.005268244,-0.0020913,-0.07,0.695,-0.008062132,0.008048184,-0.09235,0.09405
2005/11/18,1,0,0,-0.023777663,-0.002005641,-0.0029351,-0.06,0.609,-0.002376907,-0.012907059,-0.158225,0.1104
2005/11/25,1,0,0,0.000632644,0.061985807,8.77E-05,-0.1,0.414,-0.00606272,-0.023865743,-0.1198,-0.020725
2005/12/2,1,0,0,-0.030742887,-0.05313424,0.0004359,0.03,0.477,-0.01401545,-0.02594641,-0.120925,-0.1888
2005/12/9,1,0,0,-0.06017449,0.004871499,0.0008486,0.04,0.24,0.015449287,0.003676532,-0.2049,-0.30555
2005/12/16,0,1,0,-0.01538506,0.012368315,0.0006613,-0.09,0.147,0.008558219,0.006374822,0.037925,-0.19325
2005/12/23,1,0,0,-0.005198696,0.011756761,-0.0013048,-0.01,0.091,-0.006141406,-0.012847807,0.147125,-0.056275
2005/12/30,1,0,0,-0.00342486,-0.014745146,-4.45E-05,0.08,0.128,-0.005812707,-0.003046401,0.07145,-0.07315
2006/1/6,1,0,0,-0.010902412,0.015150582,-0.0005083,-0.21,0.042,-0.007631301,-0.041982709,-0.00135,-0.046525
2006/1/13,1,0,0,-0.022045169,-0.178547594,-0.0010242,-0.02,0.557,-0.000805065,-0.006029837,-0.114975,-0.297775
2006/1/20,1,0,0,-0.063124043,0.008825702,-0.0051251,0.11,0.327,-0.00233661,-0.006230032,-0.095425,-0.2542
2006/1/27,0,0,1,-0.049527608,-0.007869981,-0.0003283,-0.02,0.197,-0.010356712,0.022775226,-0.0666,-0.192325
2006/2/3,0,0,1,-0.002270069,-0.026416765,-0.0040022,0.08,0.262,0.003679584,-0.00882676,-0.1322,0.03435
2006/2/10,1,0,0,-0.036541644,-0.076928907,-0.0032575,0.04,0.359,0.001038714,0.006607593,-0.040025,0.02955
2006/2/17,0,0,1,-0.04622871,-0.059610805,-0.0043498,-0.1,0.375,-0.007279777,-0.01944652,-0.0043,0.067425
2006/2/24,0,1,0,-0.015643758,-0.004671265,-0.0035199,-0.01,0.344,0.003883091,0.013376306,-0.060425,-0.07245
2006/3/3,0,1,0,-0.025648843,0.008202114,-0.0052628,0.04,0.258,0.009490399,0.010944022,0.01355,0.0071
2006/3/10,1,0,0,0.073496049,0.035195336,-0.0050588,0.15,0.365,0.008876827,0.010915873,0.109575,0.0871
2006/3/17,0,0,1,-0.034468938,-0.014120614,-0.0058052,-0.18,0.304,-0.001048385,-0.005939022,0.186225,0.137475
2006/3/24,1,0,0,0.026491566,0.008610768,-0.0084193,0.08,0.354,0.01682264,0.006943303,0.135525,0.075825
2006/3/31,0,0,1,-0.036101614,-0.0009298,-0.0071334,0.13,0.258,-0.000322,-0.014073979,0.2609,0.0742
2006/4/7,1,0,0,0.060986308,-0.033038623,-0.0072255,0.05,0.496,0.024122731,-0.007736479,0.166225,-0.04885
2006/4/14,1,0,0,-0.057336976,-0.039154782,-0.0062051,0.08,0.426,-0.004915252,-0.001893662,0.36635,-0.09365
2006/4/21,0,0,1,-0.083361934,0.005645859,-0.0067176,-0.16,0.195,-0.004642433,-0.024470098,0.203775,-0.0734
2006/4/28,0,1,0,-0.036194201,0.0090551,0.0009273,-0.06,0.088,0.000298541,0.004223818,0.05495,-0.195675
2006/5/5,1,0,0,-0.048948936,-0.00735855,0.0008335,-0.09,-0.009,-0.009517361,0.009397833,0.01895,-0.096925
2006/5/12,1,0,0,0.039849317,0.034715002,0.005248,0.17,0.002,0.012062752,0.036464228,-0.127475,0.00495
2006/5/19,1,0,0,0.020164986,0.070857542,0.0078732,0.1,-0.114,0.008173957,0.029119679,0.05615,0.249325
2006/5/26,1,0,0,-0.018696787,-0.019459063,0.01157,-0.02,-0.11,-0.007171677,0.006889791,0.1513,0.395575
2006/6/2,1,0,0,0.017614231,0.028873357,0.0110933,-0.06,-0.139,0.016970658,0.021415912,0.0397,0.317375
2006/6/9,1,0,0,-0.05017138,0.1374444,0.0110559,0.19,-0.596,0.006643079,0.013341274,0.220275,0.33055
2006/6/16,0,0,1,-0.025666471,-0.035159444,0.0103729,0.11,-0.554,0.003974101,0.017513326,0.2122,0.271225
2006/6/23,0,0,1,-0.1,0.178334562,0.0073019,0.12,-1.254,-0.003629016,0.0750763,0.189025,0.27565
2006/6/30,0,1,0,0.034567901,0.063852408,0.0060763,-0.18,-1.391,-0.005825513,-0.035092282,0.090425,0.714475
2006/7/7,1,0,0,-0.067372713,-0.030421492,0.001655,-0.02,-1.423,-0.030493462,-0.005114815,-0.0439,0.236975
2006/7/14,1,0,0,0.038812177,0.019037803,-0.0008796,0.15,-1.413,-0.003098329,0.008825863,-0.390475,0.0778
2006/7/21,1,0,0,0.011290736,-0.039863156,-0.004206,-0.02,-1.257,-3.88E-05,-0.023430401,-0.324225,0.050125
2006/7/28,0,0,1,0.049429079,0.101130906,-0.0039497,-0.18,-1.486,-0.011616155,-0.024679835,-0.203975,-0.19375
2006/8/4,1,0,0,0.0170221,-0.019359014,-0.0069501,-0.05,-1.382,0.003510868,-0.008149481,-0.22015,-0.2662
2006/8/11,0,0,1,-0.041415054,0.01890907,-0.0062518,0.1,-1.535,-0.008924383,-0.004495248,-0.056075,-0.24395
2006/8/18,0,0,1,0.062748016,0.040411152,-0.005601,-0.19,-1.552,0.000253137,0.033117335,-0.122125,-0.19195
2006/8/25,1,0,0,0.010688448,0.050859386,-0.004291,0.02,-1.717,0.014284779,0.021609146,-0.073,0.14305
2006/9/1,0,0,1,0.027569964,0.052467546,-0.0012435,-0.1,-1.861,-0.009043228,0.002752219,0.128375,0.304425
2006/9/8,0,0,1,-0.02422363,0.005163848,0.0005158,0.12,-1.936,0.011056413,0.024396468,0.004625,0.2503
2006/9/15,1,0,0,-0.025239499,-0.029898714,0.0014875,-0.07,-1.868,-0.006322604,-0.002357693,0.134625,0.33535
2006/9/22,0,0,1,0.086845587,0.03056922,0.0010569,-0.07,-1.806,0.009179903,0.038046621,0.02005,0.1731
2006/9/29,1,0,0,0.26732458,0.009960547,0.0016539,-0.04,-1.232,-0.005466264,0.014878972,0.093725,0.3761
2006/10/6,1,0,0,-0.062570752,0.019194136,-0.0009624,0.01,-1.494,0.007188755,0.00470384,0.02035,0.374725
2006/10/13,0,0,1,-0.009404618,-0.079423664,-0.0045712,0.01,-1.184,-0.020137625,-0.045024102,0.0774,0.27185
2006/10/20,1,0,0,-0.031510898,0.041043434,-0.0049413,-0.06,-1.429,-0.001441445,0.007069143,-0.156175,-0.1772
2006/10/27,1,0,0,0.015943853,-0.011899178,-0.0096794,-0.12,-1.339,-0.010836842,-0.017831221,-0.146925,-0.1472
2006/11/3,0,0,1,-0.059508166,-0.029356652,-0.0081468,0.06,-1.38,0.005508308,-0.00381097,-0.20965,-0.245275
2006/11/10,0,0,1,-0.006307385,-0.006126126,-0.0060472,-0.11,-1.372,0.012360844,-0.023134921,-0.082275,-0.176775
2006/11/17,0,0,1,0.012815362,0.023282917,-0.0037358,-0.04,-1.43,0.001469473,0.006786607,0.12455,-0.232775
2006/11/24,0,0,1,-0.026139384,-0.006555137,-0.0002798,-0.07,-1.47,0.006211653,-0.016568459,0.124675,-0.114275
2006/12/1,0,0,1,0.080645161,0.113370019,0.0025317,-0.03,-1.717,0.00042924,0.009986957,0.1701,-0.163275
